Object_ID, Length, Assignment
C04.111,180,5661
C04.212,180,5061
C04.389,180,5061
C04.625,180,5661
C04.647,180,5061
C04.767,180,5661
C04.947,180,5061
C04.1221,180,5061
C04.1481,180,5661
C04.1566,168,5061
C04.1584,180,5061
C04.1933,180,5661
C04.2842,180,5061
C04.2892,180,5661
C04.2899,180,5661
C04.3056,180,5661
C04.3524,180,5661
C04.3554,180,5061
C04.4177,180,5661
C04.4284,180,5061
C04.4295,180,5661
C04.4830,180,5061
C04.5121,180,5661
C04.5248,180,5661
C04.5341,180,5061
C04.5580,180,5661
C04.6393,180,5061
C04.6442,180,1920107
C04.6722,180,5061
C04.6852,180,5661
C04.7141,180,5061
C04.7198,180,5661
C04.7529,180,5061
C04.7607,180,5061
C04.8011,180,5661
C04.8028,180,5061
C04.8391,180,676
C04.8437,180,5061
C04.8637,180,5061
C04.9016,180,5061
C04.9157,180,5661
C04.9345,180,5061
C04.9712,180,5661
C04.9766,180,5661
C04.9815,180,5061
C04.9921,120,5661
C04.10009,180,5061
C04.10322,180,5661
C04.10917,180,5661
C04.11453,180,5061
C04.11486,180,5061
C04.11594,180,5061
C04.11993,180,37124
C04.12220,180,5661
C04.12231,180,5661
C04.12385,180,5661
C04.12455,180,5661
C04.12580,180,632
C04.12615,180,5061
C04.13823,180,5061
C04.14403,180,5061
C04.14411,180,5661
C04.14750,180,5061
C04.14801,180,5061
C04.14882,180,5661
C04.15010,180,5061
C04.15084,180,5061
C04.15134,180,5061
C04.15549,180,1484157
C04.15778,148,5661
C04.15847,180,5661
C04.16086,180,5061
C04.16403,180,5061
C04.16537,180,5661
C04.16543,180,5661
C04.16651,180,5661
C04.16721,180,5061
C04.16740,180,5061
C04.16786,180,5061
C04.17041,180,5661
C04.17465,138,5661
C04.17771,180,5061
C04.17991,180,5061
C04.18338,180,5661
C04.18523,180,5661
C04.18747,180,5061
C04.18879,180,5061
C04.19070,180,5661
C04.19209,180,5661
C04.19284,180,1484157
C04.19608,180,5061
C04.19896,180,5061
C04.20400,180,5061
C04.20840,180,5661
C04.20931,180,5661
C04.20941,180,5661
C04.21031,180,5661
C04.21439,180,5661
C04.21474,180,5661
C04.21582,180,5661
C04.21588,146,5661
C04.21654,180,5661
C04.21767,180,5061
C04.21794,180,263
C04.21856,180,5061
C04.21889,180,5661
C04.21951,180,5661
C04.22222,180,5061
C04.22657,180,5061
C04.22704,180,5661
C04.22904,180,5661
C04.23092,180,5661
C04.23631,180,5061
C04.23689,180,5661
C04.23748,180,5061
C04.23853,180,5661
C04.24047,180,5661
C04.24433,180,5061
C04.24613,180,5661
C04.24819,180,5061
C04.24822,180,5661
C04.25077,180,5661
C04.25094,180,5661
C04.25458,180,5661
C04.25950,180,5061
C04.25964,180,5661
C04.26026,180,5061
C04.26804,180,5661
C04.27460,180,5061
C04.27768,180,5661
C04.27837,180,5661
C04.28179,180,5661
C04.28735,180,5061
C04.29040,180,5661
C04.29164,180,5661
C04.29250,180,5061
C04.30037,180,5061
C04.30143,180,5061
C04.30488,180,5061
C04.30517,180,5661
C04.30618,180,5661
C04.30750,180,5661
C04.31035,180,5661
C04.31390,180,82985
C04.31595,180,5661
C04.31673,180,5661
C04.31743,180,5061
C04.31881,180,5061
C04.31965,180,5061
C04.32094,180,5061
C04.32256,180,5661
C04.32648,180,5061
C04.32760,180,5661
C04.33136,180,5661
C04.33224,180,632
C04.33289,180,5061
C04.33718,180,5661
C04.33803,180,5061
C04.34023,180,5061
C04.34202,180,5061
C04.34235,180,5061
C04.34376,180,5661
C04.34712,180,5661
C04.34896,180,5661
C04.35235,180,5061
C04.35709,180,5661
C04.36032,180,5061
C04.36088,180,5061
C04.36959,180,5061
C04.37133,180,5661
C04.37467,180,5061
C04.37519,180,5061
C04.37645,180,5661
C04.37718,180,5661
C04.37780,118,5661
C04.38240,180,5061
C04.38282,180,5661
C04.38442,180,5661
C04.38511,180,5061
C04.38686,180,5661
C04.38801,180,5661
C04.38968,180,5661
C04.39133,166,5661
C04.39287,180,5061
C04.39466,180,5061
C04.39609,180,5661
C04.39832,180,5661
C04.40027,180,5661
C04.40295,180,5661
C04.40332,180,5661
C04.40460,180,5661
C04.40501,180,5661
C04.40645,180,5061
C04.40706,180,5661
C04.40930,180,5661
C04.41098,180,263
C04.41540,180,5061
C04.41765,180,5661
C04.41766,180,5661
C04.42004,180,5661
C04.42251,180,5661
C04.42397,180,5061
C04.42559,180,5661
C04.42770,180,5661
C04.42926,180,5661
C04.43054,180,5661
C04.43112,178,5661
C04.43278,180,5061
C04.43739,180,5061
