Object_ID, Length, Assignment
Example.1,302,303
Example.2,302,276
Example.3,302,471
Example.4,302,471
Example.5,302,276
Example.6,302,471
Example.7,302,471
Example.8,302,303
Example.9,302,466
Example.10,302,411
Example.11,302,203
Example.12,302,411
Example.13,302,369
Example.14,302,369
Example.15,302,369
Example.16,302,276
Example.17,302,303
Example.18,302,276
Example.19,302,471
Example.20,302,303
Example.21,302,466
Example.22,302,369
Example.23,302,369
Example.24,302,203
Example.25,302,411
Example.26,302,466
Example.27,302,276
Example.28,302,471
Example.29,302,411
Example.30,302,411
Example.31,302,203
Example.32,302,411
Example.33,302,369
Example.34,302,369
Example.35,302,411
Example.36,302,411
Example.37,302,466
Example.38,302,369
Example.39,302,471
Example.40,302,276
Example.41,302,276
Example.42,302,303
Example.43,302,369
Example.44,302,276
Example.45,302,303
Example.46,302,276
Example.47,302,203
Example.48,302,466
Example.49,302,303
Example.50,302,369
Example.51,302,411
Example.52,302,466
Example.53,302,411
Example.54,302,411
Example.55,302,411
Example.56,302,276
Example.57,302,203
Example.58,302,303
Example.59,302,369
Example.60,302,369
Example.61,302,466
Example.62,302,276
Example.63,302,411
Example.64,302,276
Example.65,302,471
Example.66,302,471
Example.67,302,203
Example.68,302,466
Example.69,302,369
Example.70,302,303
Example.71,302,303
Example.72,302,471
Example.73,302,471
Example.74,302,276
Example.75,302,411
Example.76,302,369
Example.77,302,471
Example.78,302,203
Example.79,302,203
Example.80,302,369
Example.81,302,203
Example.82,302,369
Example.83,302,471
Example.84,302,466
Example.85,302,276
Example.86,302,466
Example.87,302,466
Example.88,302,203
Example.89,302,466
Example.90,302,411
Example.91,302,203
Example.92,302,276
Example.93,302,203
Example.94,302,303
Example.95,302,411
Example.96,302,276
Example.97,302,203
Example.98,302,466
Example.99,302,411
Example.100,302,276
Example.101,302,411
Example.102,302,303
Example.103,302,369
Example.104,302,369
Example.105,302,276
Example.106,302,369
Example.107,302,471
Example.108,302,471
Example.109,302,369
Example.110,302,471
Example.111,302,203
Example.112,302,411
Example.113,302,411
Example.114,302,466
Example.115,302,471
Example.116,302,466
Example.117,302,471
Example.118,302,466
Example.119,302,276
Example.120,302,276
Example.121,302,471
Example.122,302,471
Example.123,302,411
Example.124,302,369
Example.125,302,276
Example.126,302,411
Example.127,302,471
Example.128,302,471
Example.129,302,203
Example.130,302,303
Example.131,302,411
Example.132,302,203
Example.133,302,303
Example.134,302,303
Example.135,302,303
Example.136,302,369
Example.137,302,276
Example.138,302,276
Example.139,302,471
Example.140,302,276
Example.141,302,411
Example.142,302,411
Example.143,302,203
Example.144,302,411
Example.145,302,303
Example.146,302,471
Example.147,302,303
Example.148,302,466
Example.149,302,276
Example.150,302,369
Example.151,302,203
Example.152,302,411
Example.153,302,466
Example.154,302,203
Example.155,302,203
Example.156,302,203
Example.157,302,276
Example.158,302,276
Example.159,302,466
Example.160,302,303
Example.161,302,276
Example.162,302,276
Example.163,302,203
Example.164,302,411
Example.165,302,471
Example.166,302,411
Example.167,302,411
Example.168,302,276
Example.169,302,466
Example.170,302,203
Example.171,302,203
Example.172,302,276
Example.173,302,411
Example.174,302,203
Example.175,302,369
Example.176,302,203
Example.177,302,471
Example.178,302,276
Example.179,302,203
Example.180,302,411
Example.181,302,471
Example.182,302,369
Example.183,302,203
Example.184,302,303
Example.185,302,276
Example.186,302,471
Example.187,302,276
Example.188,302,466
Example.189,302,471
Example.190,302,276
Example.191,302,471
Example.192,302,471
Example.193,302,303
Example.194,302,466
Example.195,302,276
Example.196,302,369
Example.197,302,303
Example.198,302,471
Example.199,302,203
Example.200,302,303
Example.201,302,369
Example.202,302,276
Example.203,302,369
Example.204,302,303
Example.205,302,369
Example.206,302,276
Example.207,302,203
Example.208,302,276
Example.209,302,276
Example.210,302,411
Example.211,302,411
Example.212,302,369
Example.213,302,276
Example.214,302,203
Example.215,302,303
Example.216,302,303
Example.217,302,203
Example.218,302,369
Example.219,302,203
Example.220,302,203
Example.221,302,411
Example.222,302,276
Example.223,302,369
Example.224,302,203
Example.225,302,276
Example.226,302,466
Example.227,302,411
Example.228,302,411
Example.229,302,411
Example.230,302,369
Example.231,302,203
Example.232,302,471
Example.233,302,411
Example.234,302,471
Example.235,302,203
Example.236,302,203
Example.237,302,466
Example.238,302,276
Example.239,302,466
Example.240,302,466
Example.241,302,203
Example.242,302,411
Example.243,302,303
Example.244,302,369
Example.245,302,411
Example.246,302,276
Example.247,302,369
Example.248,302,303
Example.249,302,411
Example.250,302,203
Example.251,302,276
Example.252,302,303
Example.253,302,411
Example.254,302,411
Example.255,302,369
Example.256,302,369
Example.257,302,369
Example.258,302,303
Example.259,302,369
Example.260,302,411
Example.261,302,466
Example.262,302,466
Example.263,302,276
Example.264,302,303
Example.265,302,369
Example.266,302,303
Example.267,302,276
Example.268,302,411
Example.269,302,411
Example.270,302,471
Example.271,302,203
Example.272,302,369
Example.273,302,203
Example.274,302,276
Example.275,302,411
Example.276,302,203
Example.277,302,369
Example.278,302,411
Example.279,302,276
Example.280,302,303
Example.281,302,303
Example.282,302,369
Example.283,302,276
Example.284,302,276
Example.285,302,276
Example.286,302,471
Example.287,302,471
Example.288,302,471
Example.289,302,303
Example.290,302,303
Example.291,302,411
Example.292,302,411
Example.293,302,203
Example.294,302,276
Example.295,302,466
Example.296,302,203
Example.297,302,203
Example.298,302,471
Example.299,302,203
Example.300,302,369
Example.301,302,276
Example.302,302,411
Example.303,302,369
Example.304,302,203
Example.305,302,411
Example.306,302,303
Example.307,302,203
Example.308,302,411
Example.309,302,203
Example.310,302,411
Example.311,302,276
Example.312,302,303
Example.313,302,203
Example.314,302,276
Example.315,302,203
Example.316,302,369
Example.317,302,471
Example.318,302,276
Example.319,302,466
Example.320,302,369
Example.321,302,369
Example.322,302,203
Example.323,302,203
Example.324,302,276
Example.325,302,369
Example.326,302,369
Example.327,302,411
Example.328,302,276
Example.329,302,303
Example.330,302,276
Example.331,302,411
Example.332,302,276
Example.333,302,276
Example.334,302,471
Example.335,302,411
Example.336,302,276
Example.337,302,276
Example.338,302,411
Example.339,302,276
Example.340,302,276
Example.341,302,411
Example.342,302,369
Example.343,302,471
Example.344,302,203
Example.345,302,471
Example.346,302,466
Example.347,302,369
Example.348,302,369
