TaxaID	Taxonomic_Rank	Name	Count	Probability	Proportion_Classified(%)
77133	species	UNCULTURED BACTERIUM	134.857474353392	503	26.8106311	0.1192141
100272	species	UNCULTURED EUKARYOTE	80.4658544616061	389	20.6853096	0.0921954
9590	species	SYMPHALANGUS SYNDACTYLUS	62.3327114543119	1123	5.5505531	0.2661579
10116	species	RATTUS NORVEGICUS	57.1032180838819	544	10.4969151	0.1289313
9606	species	HOMO SAPIENS	51.2224149050849	814	6.2926800	0.1929230
252962	species	OSCARELLA TUBERCULATA	44.2574633960409	166	26.6611225	0.0393430
9601	species	PONGO ABELII	38.3167187671897	831	4.6109168	0.1969521
10090	species	MUS MUSCULUS	37.4706909741884	948	3.9526045	0.2246818
10020	species	DIPODOMYS ORDII	35.9670008052289	185	19.4416221	0.0438461
357284	species	HOMALOPTERA LEONARDI	35.3086370400336	230	15.3515813	0.0545114
42254	species	SOREX ARANEUS	34.9156273706992	150	23.2770849	0.0355509
61392	species	COEMANSIA REVERSA	23.8092282908423	214	11.1258076	0.0507193
1157685	species	RHIZOBIUM SP. JGI 0001005 H05	23.078907889484	150	15.3859386	0.0355509
9978	species	OCHOTONA PRINCEPS	21.7603223635306	374	5.8182680	0.0886403
203449	species	UNCULTURED MARINE EUKARYOTE	18.4534822623515	111	16.6247588	0.0263077
9598	species	PAN TROGLODYTES	17.6421740730274	397	4.4438726	0.0940914
9986	species	ORYCTOLAGUS CUNICULUS	16.6822552856011	522	3.1958343	0.1237172
115547	species	UNCULTURED ARCHAEON	15.9233743545055	71	22.4272878	0.0168274
37347	species	TUPAIA BELANGERI	15.9134640683146	364	4.3718308	0.0862702
34755	subspecies	SAGITTA CRASSA NAIKAIENSIS	13.939466864969	59	23.6262150	0.0139834
405008	species	EUCOMONYMPHA IMLA	13.1992325876715	151	8.7412136	0.0357879
415603	species	INFUNDIBULOMYCES SP. NR 2006A	13.0158206265505	139	9.3638997	0.0329439
33695	species	TUBULINOSEMA KINGI	12.9491207054803	150	8.6327471	0.0355509
152704	species	UNCULTURED STRAMENOPILE	10.9326059367091	53	20.6275584	0.0125613
1104615	species	MICROGENOMATES BACTERIUM SCGC AAA011 L05	10.720645491527	113	9.4872969	0.0267817
683832	species	CIRRHINUS MRIGALA	9.8557409459564	107	9.2109728	0.0253597
9371	species	ECHINOPS TELFAIRI	9.1375029573615	258	3.5416678	0.0611476
175275	species	UNCULTURED CERCOZOAN	8.92793835119288	49	18.2202823	0.0116133
763931	species	KOFOIDINIUM CF. PAVILLARDII	8.887699917372	10	88.8769992	0.0023701
256318	species	METAGENOME	8.7891244947804	36	24.4142347	0.0085322
85101	species	UROCOLIUS MACROURUS	8.4043697418963	33	25.4677871	0.0078212
187300	species	UNCULTURED DINOFLAGELLATE	8.0613022453773	80	10.0766278	0.0189605
1047006	species	OMNITROPHICA BACTERIUM SCGC AAA252 B19	8.05954073766354	54	14.9250754	0.0127983
72520	species	NANNOCHLOROPSIS GADITANA	7.9648113501585	144	5.5311190	0.0341289
303551	species	GONYAULAX FRAGILIS	7.514459402751	45	16.6987987	0.0106653
1104610	species	MICROGENOMATES BACTERIUM SCGC AAA011 B20	7.326966277778	36	20.3526841	0.0085322
5241	species	TULASNELLA VIOLEA	7.1539424108732	255	2.8054676	0.0604366
240359	species	THECADINIUM MUCOSUM	7.113527535806	43	16.5430873	0.0101913
633	species	YERSINIA PSEUDOTUBERCULOSIS	6.744880804028	3695	0.1825408	0.8757377
9365	species	ERINACEUS EUROPAEUS	6.70492586965022	457	1.4671610	0.1083118
119	species	PLANCTOMYCES BRASILIENSIS	5.9643904289899	8574	0.0695637	2.0320906
604433	species	ARBOROPHILA RUFOGULARIS	5.8743518419151	44	13.3507996	0.0104283
439317	species	GAMBIERDISCUS AUSTRALES	5.85838608805	16	36.6149131	0.0037921
189424	species	MENOIDIUM SP. CCAP 1247/6	5.673741790297	23	24.6684426	0.0054511
404735	species	UNCULTURED EIMERIIDAE	5.653822834281	32	17.6681964	0.0075842
136703	species	UNCULTURED RUMEN BACTERIUM	5.4642306817305	40	13.6605767	0.0094802
30538	species	VICUGNA PACOS	5.201535506822	23	22.6153718	0.0054511
59463	species	MYOTIS LUCIFUGUS	5.03966399505858	35	14.3990400	0.0082952
699262	species	MICROGENOMATES BACTERIUM SCGC AAA011 L6	5.0007672624589	54	9.2606801	0.0127983
1394710	species	CANDIDATE DIVISION WWE3 BACTERIUM RAAC2_WWE3_1	4.91451591913562	63	7.8008189	0.0149314
477976	species	CALDITERRIVIBRIO NITROREDUCENS	4.7873611584218	50	9.5747223	0.0118503
217026	species	AUXIS ROCHEI	4.53782067071806	26	17.4531564	0.0061622
175274	species	UNCULTURED ALVEOLATE	4.3136491828131	30	14.3788306	0.0071102
5808	species	CRYPTOSPORIDIUM MURIS	4.10784222889422	351	1.1703254	0.0831892
591197	species	IGNAVIBACTERIUM ALBUM	4.06185626194753	38	10.6890954	0.0090062
175245	species	UNCULTURED FUNGUS	4.0307285084698	22	18.3214932	0.0052141
27973	species	ENCEPHALITOZOON HELLEM	3.99648686819009	80	4.9956086	0.0189605
86637	species	GYROPAIGNE LEFEVREI	3.771203019761	24	15.7133459	0.0056881
554078	species	UNCULTURED RHIZARIA	3.7578775285989	24	15.6578230	0.0056881
175247	species	UNCULTURED CHYTRIDIOMYCOTA	3.7219848705763	18	20.6776937	0.0042661
4081	species	SOLANUM LYCOPERSICUM	3.6912419003907	443	0.8332374	0.1049937
315267	species	UNCULTURED FRESHWATER EUKARYOTE	3.6354682456026	42	8.6558768	0.0099543
85874	species	THERMACETOGENIUM PHAEUM	3.58380330250327	33	10.8600100	0.0078212
170407	species	HALIMEDA BORNEENSIS	3.47180030947014	45	7.7151118	0.0106653
6239	species	CAENORHABDITIS ELEGANS	3.42308699844536	226	1.5146403	0.0535634
64183	species	UTERIPORUS SP. SC 1997	3.408351750596	17	20.0491279	0.0040291
9615	subspecies	CANIS LUPUS FAMILIARIS	3.4048505893182	181	1.8811329	0.0428981
166587	species	UNCULTURED CHLOROFLEXI BACTERIUM	3.3972385664735	18	18.8735476	0.0042661
1407671	species	UNCULTURED MEDITERRANEAN PHAGE UVMED	3.39701258349951	28	12.1321878	0.0066362
148817	species	ORTHOSOMELLA OPEROPHTERAE	3.365576607284	55	6.1192302	0.0130353
31281	species	ENTEROCYTOZOON BIENEUSI	3.3046640071787	63	5.2454984	0.0149314
4113	species	SOLANUM TUBEROSUM	3.229821733849	280	1.1535078	0.0663617
34034	species	UNCULTURED DELTA PROTEOBACTERIUM	3.2177788523755	30	10.7259295	0.0071102
5180	species	SCLEROTINIA SCLEROTIORUM	3.13890127652579	387	0.8110856	0.0917214
170411	species	HALIMEDA CYLINDRACEA	3.10266987243223	34	9.1254996	0.0080582
33688	species	AMBLYOSPORA SP.	3.0470278623472	38	8.0184944	0.0090062
8801	species	STRUTHIO CAMELUS	3.02919697864217	308	0.9835055	0.0729979
35128	species	THALASSIOSIRA PSEUDONANA	2.9587107163118	85	3.4808361	0.0201455
96649	species	PELODERA PUNCTATA	2.9369908933307	39	7.5307459	0.0092432
554024	species	NEMATODA ENVIRONMENTAL SAMPLE	2.90269717613922	16	18.1418574	0.0037921
152509	species	UNCULTURED BACTEROIDETES BACTERIUM	2.8780654130685	17	16.9297965	0.0040291
86473	species	UNCULTURED GAMMA PROTEOBACTERIUM	2.87710573062321	30	9.5903524	0.0071102
170417	species	HALIMEDA HEDERACEA	2.842552891795	28	10.1519746	0.0066362
9544	species	MACACA MULATTA	2.82882972372412	321	0.8812554	0.0760790
126669	species	AMPHISORUS HEMPRICHII	2.82534195635172	27	10.4642295	0.0063992
501324	species	MYXOBOLUS ALBI	2.80910425186424	15	18.7273617	0.0035551
9685	species	FELIS CATUS	2.69368847963752	600	0.4489481	0.1422037
146919	species	SALINIBACTER RUBER	2.67388088658653	35	7.6396597	0.0082952
304914	species	SINOCYCLOCHEILUS ALTISHOULDERUS	2.5995456966742	23	11.3023726	0.0054511
1036674	species	IDIOMARINA SP. A28L	2.595013753406	12	21.6251146	0.0028441
155900	species	UNCULTURED ORGANISM	2.5836097946926	23	11.2330861	0.0054511
45157	species	CYANIDIOSCHYZON MEROLAE	2.57611503072541	76	3.3896250	0.0180125
479641	species	VACELETIA SP. GW948	2.54545454545437	29	8.7774295	0.0068732
9785	species	LOXODONTA AFRICANA	2.48443796030692	400	0.6211095	0.0948025
8795	species	PTEROCNEMIA PENNATA	2.46369994708545	177	1.3919209	0.0419501
665941	species	COPROBACILLUS SP. 3_3_56FAA	2.455179159173	3	81.8393053	0.0007110
9739	species	TURSIOPS TRUNCATUS	2.4448338519268	386	0.6333766	0.0914844
547188	species	PHYCISPHAERA MIKURENSIS	2.43701716571171	134	1.8186695	0.0317588
384638	species	[BACTEROIDES] PECTINOPHILUS	2.4076631972925	7	34.3951885	0.0016590
559495	species	ARBOROPHILA RUFIPECTUS	2.40671192806802	34	7.0785645	0.0080582
1076179	species	BIOREACTOR METAGENOME	2.3916548118523	13	18.3973447	0.0030811
1047061	species	MARINIMICROBIA BACTERIUM JGI 0000059 L03	2.3424207188036	21	11.1543844	0.0049771
5022	species	LEPTOSPHAERIA MACULANS	2.3334571059709	167	1.3972797	0.0395800
723287	species	ANNCALIIA ALGERAE	2.3035622443929	23	10.0154880	0.0054511
28152	species	YERSINIA KRISTENSENII	2.297587629183	15	15.3172509	0.0035551
5741	species	GIARDIA INTESTINALIS	2.28036299398286	279	0.8173344	0.0661247
187299	species	UNCULTURED CILIATE	2.24393659974544	25	8.9757464	0.0059252
673862	species	DELTA PROTEOBACTERIUM BABL1	2.2404703684579	17	13.1792375	0.0040291
9597	species	PAN PANISCUS	2.22222473428112	302	0.7358360	0.0715759
13616	species	MONODELPHIS DOMESTICA	2.17342903416737	88	2.4698057	0.0208565
658077	species	HICANONECTES TELESKOPOS	2.1674153236474	7	30.9630761	0.0016590
230744	species	SELENIDIUM VIVAX	2.1481203188988	42	5.1145722	0.0099543
120965	species	UNCULTURED PLANCTOMYCETE	2.1401197076553	19	11.2637879	0.0045031
9595	subspecies	GORILLA GORILLA GORILLA	2.13097438441211	177	1.2039403	0.0419501
63363	species	AQUIFEX AEOLICUS	2.1255529059358	30	7.0851764	0.0071102
75348	species	GYMNOCYPRIS PRZEWALSKII	2.10518811303722	35	6.0148232	0.0082952
173225	species	TACHYCINETA MEYENI	2.1025765345094	4	52.5644134	0.0009480
152507	species	UNCULTURED ACTINOBACTERIUM	2.10233247298721	8	26.2791559	0.0018960
754195	species	BUNDLEIA NANA	2.0701600669528	7	29.5737152	0.0016590
174433	species	PSOROTICHIA MURORUM	2.064277127136	20	10.3213856	0.0047401
1032489	species	SORITES SP. 206	2.06328123375634	30	6.8776041	0.0071102
114243	species	UNCULTURED EURYARCHAEOTE	2.0617887512431	12	17.1815729	0.0028441
496920	species	SALTERN METAGENOME	2.0513234661718	9	22.7924830	0.0021331
103359	species	SIPHONOSPHAERA CYATHINA	2.035591949419	5	40.7118390	0.0011850
91750	species	UNCULTURED ALPHA PROTEOBACTERIUM	2.0278117934937	18	11.2656211	0.0042661
1260624	species	IDIOMARINA SP. 28 8	2.02033513437	3	67.3445045	0.0007110
631	species	YERSINIA INTERMEDIA	1.942712399745	3125	0.0621668	0.7406442
128069	species	ANDROSINA LUCASI	1.9120711107965	23	8.3133527	0.0054511
46218	species	COTURNIX CHINENSIS	1.90678350779888	30	6.3559450	0.0071102
395038	species	JOSEFPOELTIA PARVA	1.9034910563221	26	7.3211194	0.0061622
164851	species	UNCULTURED SOIL BACTERIUM	1.89792648094499	26	7.2997172	0.0061622
385043	species	UNCULTURED SYNDINIALES	1.8730240833267	27	6.9371262	0.0063992
156903	species	ACONTIAS LITORALIS	1.861345052534	7	26.5906436	0.0016590
86281	species	CARYOSPORA BIGENETICA	1.859415970166	29	6.4117792	0.0068732
9078	species	ALECTORIS CHUKAR	1.83727304236555	227	0.8093714	0.0538004
37095	species	ULKENIA PROFUNDA	1.8210250180681	53	3.4358963	0.0125613
7238	species	DROSOPHILA SECHELLIA	1.81948051895305	271	0.6713950	0.0642287
120858	species	UNCULTURED EPSILON PROTEOBACTERIUM	1.770343090335	18	9.8352394	0.0042661
315753	species	UNCULTURED LABYRINTHULID	1.753058867254	17	10.3121110	0.0040291
562	species	ESCHERICHIA COLI	1.7073796124654	3957	0.0431483	0.9378333
577509	species	LAEVIPENEROPLIS SP. 2456 MH 2008	1.6578735057413	19	8.7256500	0.0045031
56262	species	PANDION HALIAETUS	1.6510995442929	25	6.6043982	0.0059252
764556	species	POLYPTERUS SP. GOLDEN DUST	1.6510389516642	3	55.0346317	0.0007110
7739	species	BRANCHIOSTOMA FLORIDAE	1.62508418283905	252	0.6448747	0.0597255
156588	species	UNCULTURED VERRUCOMICROBIA BACTERIUM	1.616821260152	5	32.3364252	0.0011850
390267	species	PSEUDOTRICHONYMPHA SP. MA55PA	1.57239559307547	26	6.0476754	0.0061622
281284	species	HEPATOZOON SP. HEPBICM001	1.5688323241702	9	17.4314703	0.0021331
231055	species	UNCULTURED GLOMUS	1.56054433363	15	10.4036289	0.0035551
29281	species	UNCULTURED CRENARCHAEOTE	1.55943244484371	18	8.6635136	0.0042661
55213	species	BRENNERIA RUBRIFACIENS	1.55242593357	13	11.9417380	0.0030811
390261	species	PSEUDOTRICHONYMPHA SP. LA19SC P8	1.54226297677717	24	6.4260957	0.0056881
336262	species	DOROSOMA CEPEDIANUM	1.5025585750701	9	16.6950953	0.0021331
289451	species	EOSENTOMON COMMUNIS	1.496849997109	4	37.4212499	0.0009480
104083	species	PSEUDOTRICHONYMPHA GRASSII	1.46109367966682	23	6.3525812	0.0054511
285696	species	UNCULTURED PARABASALID EUKARYOTE	1.45909031287035	16	9.1193145	0.0037921
9796	species	EQUUS CABALLUS	1.43277461878757	246	0.5824287	0.0583035
445360	species	PELLONA DITCHELA	1.43048591108475	11	13.0044174	0.0026071
1445009	species	NIORMA CHRYSOPHTHALMA	1.4226279630028	24	5.9276165	0.0056881
198507	species	LABEO SENEGALENSIS	1.4206178754568	18	7.8923215	0.0042661
36804	species	ENTEROCYTOZOON SALMONIS	1.4135484357188	46	3.0729314	0.0109023
60468	species	AGAPORNIS ROSEICOLLIS	1.3972000699416	25	5.5888003	0.0059252
32644	species	UNIDENTIFIED	1.3964395536609	35	3.9898273	0.0082952
34771	species	LEPISOSTEUS OSSEUS	1.39199990467879	42	3.3142855	0.0099543
128076	species	AMPHISORUS SP. 1333	1.38318567509863	21	6.5865985	0.0049771
9823	species	SUS SCROFA	1.3587818719279	338	0.4020065	0.0801081
340708	species	AGGREGATA OCTOPIANA	1.33487692368798	4	33.3719231	0.0009480
