TaxaID	Taxonomic_Rank	Name	Count	Probability	Proportion_Classified(%)
77133	species	UNCULTURED BACTERIUM	412.28517273876	1060	38.8948276	0.2802765
152704	species	UNCULTURED STRAMENOPILE	241.424881954608	331	72.9380308	0.0875203
100272	species	UNCULTURED EUKARYOTE	225.011728288582	920	24.4577966	0.2432588
9590	species	SYMPHALANGUS SYNDACTYLUS	100.587504681376	1964	5.1215634	0.5193047
252962	species	OSCARELLA TUBERCULATA	73.7582133303561	282	26.1553948	0.0745641
9601	species	PONGO ABELII	63.2636307767636	1203	5.2588222	0.3180874
405008	species	EUCOMONYMPHA IMLA	59.2401999339482	431	13.7448260	0.1139615
357284	species	HOMALOPTERA LEONARDI	53.9968221899771	324	16.6656859	0.0856694
203449	species	UNCULTURED MARINE EUKARYOTE	51.3098697006511	279	18.3906343	0.0737709
415603	species	INFUNDIBULOMYCES SP. NR 2006A	46.4685201773855	385	12.0697455	0.1017985
33695	species	TUBULINOSEMA KINGI	46.4010866766485	377	12.3079806	0.0996832
61392	species	COEMANSIA REVERSA	43.2705490819937	155	27.9164833	0.0409838
115547	species	UNCULTURED ARCHAEON	36.9957229912089	140	26.4255164	0.0370176
9606	species	HOMO SAPIENS	36.3351995418133	526	6.9078326	0.1390806
10020	species	DIPODOMYS ORDII	30.3113241133474	166	18.2598338	0.0438924
187300	species	UNCULTURED DINOFLAGELLATE	25.803082004753	144	17.9188069	0.0380753
37347	species	TUPAIA BELANGERI	21.8898397417745	208	10.5239614	0.0549976
4113	species	SOLANUM TUBEROSUM	21.8783951083868	306	7.1498023	0.0809100
5241	species	TULASNELLA VIOLEA	20.7953527521272	197	10.5560166	0.0520891
9598	species	PAN TROGLODYTES	17.3623992723756	394	4.4067003	0.1041782
42254	species	SOREX ARANEUS	16.8998266615679	76	22.2366140	0.0200953
175275	species	UNCULTURED CERCOZOAN	14.7585539252666	68	21.7037558	0.0179800
34755	subspecies	SAGITTA CRASSA NAIKAIENSIS	14.220716020443	62	22.9366387	0.0163935
9978	species	OCHOTONA PRINCEPS	14.1924832607688	366	3.8777277	0.0967747
175274	species	UNCULTURED ALVEOLATE	13.4511932770064	72	18.6822129	0.0190376
763931	species	KOFOIDINIUM CF. PAVILLARDII	12.804835736453	15	85.3655716	0.0039662
554078	species	UNCULTURED RHIZARIA	12.4418404289259	48	25.9205009	0.0126918
187299	species	UNCULTURED CILIATE	12.367502369537	69	17.9239165	0.0182444
86473	species	UNCULTURED GAMMA PROTEOBACTERIUM	12.2104179067425	86	14.1981604	0.0227394
683832	species	CIRRHINUS MRIGALA	12.1801231036257	64	19.0314423	0.0169224
315267	species	UNCULTURED FRESHWATER EUKARYOTE	11.8847959740471	51	23.3035215	0.0134850
96649	species	PELODERA PUNCTATA	11.6713434854057	120	9.7261196	0.0317294
136703	species	UNCULTURED RUMEN BACTERIUM	11.0911007062805	63	17.6049218	0.0166579
9371	species	ECHINOPS TELFAIRI	11.0622576131203	494	2.2393234	0.1306194
404735	species	UNCULTURED EIMERIIDAE	10.8690939706698	54	20.1279518	0.0142782
