#Taxon_ID	Taxon_Rank	Taxon_Name	Probability_Mass
Unclassifiable	Unknown	Unknown	534.940266838865
1798534	Unknown	Unknown	186.984078292231
13675	genus	SCOMBER	103.16635610077
2759	superkingdom	EUKARYOTA	86.6375350331848
2	superkingdom	BACTERIA	64.0360436390931
33634	no rank	STRAMENOPILES	63.9531022836538
2836	phylum	BACILLARIOPHYTA	36.6743017191951
186802	order	CLOSTRIDIALES	35.6898786022711
77133	species	UNCULTURED BACTERIUM	34.5611101390189
10020	species	DIPODOMYS ORDII	22.2517475421886
10116	species	RATTUS NORVEGICUS	21.4533500984275
9577	family	HYLOBATIDAE	21.4162366136612
325166	genus	SYMPHALANGUS	21.4162366136612
9590	species	SYMPHALANGUS SYNDACTYLUS	21.4162366136612
6029	phylum	MICROSPORIDIA	21.0582190723719
100272	species	UNCULTURED EUKARYOTE	20.9827975440297
186801	class	CLOSTRIDIA	19.1897460996014
278170	subfamily	BALITORINAE	18.9443399254663
9606	species	HOMO SAPIENS	18.7031580499151
10114	genus	RATTUS	16.9972051526515
33213	no rank	BILATERIA	15.9336702005099
1224	phylum	PROTEOBACTERIA	15.5932647506617
862507	subgenus	MUS	14.5534980617673
10090	species	MUS MUSCULUS	14.5534980617673
10088	genus	MUS	14.5534980617673
252962	species	OSCARELLA TUBERCULATA	14.338515424386
42254	species	SOREX ARANEUS	13.7396407929778
35718	family	CHAETOMIACEAE	13.364316814551
33083	order	DICTYOSTELIIDA	11.711356455976
314293	infraorder	SIMIIFORMES	11.4800888844739
376913	suborder	HAPLORRHINI	11.4800888844739
9526	parvorder	CATARRHINI	11.4800888844739
9601	species	PONGO ABELII	11.1556854492802
314295	superfamily	HOMINOIDEA	10.1899039614267
607660	subfamily	PONGINAE	10.1082643236682
9599	genus	PONGO	10.1082643236682
4751	kingdom	FUNGI	9.95613225035076
9604	family	HOMINIDAE	9.79856915966268
763931	species	KOFOIDINIUM CF. PAVILLARDII	9.72279922229
9443	order	PRIMATES	9.70148089055284
357284	species	HOMALOPTERA LEONARDI	9.6920675640899
357283	genus	HOMALOPTERA	9.6920675640899
9605	genus	HOMO	9.55655482563332
976	phylum	BACTEROIDETES	8.7670320740012
314146	superorder	EUARCHONTOGLIRES	8.5580619759026
9978	species	OCHOTONA PRINCEPS	8.131742474661
9347	no rank	EUTHERIA	8.12537422520579
64898	family	AQUIFICACEAE	8.1112717557777
33183	order	ONYGENALES	7.7445809290381
33154	no rank	OPISTHOKONTA	7.65931675947989
32525	no rank	THERIA	7.65903974986995
9598	species	PAN TROGLODYTES	7.51227142536771
61392	species	COEMANSIA REVERSA	7.4920664593321
33630	no rank	ALVEOLATA	7.20570523589625
1437010	no rank	BOREOEUTHERIA	7.00128978338821
2157	superkingdom	ARCHAEA	6.5600972213876
112	order	PLANCTOMYCETALES	6.5559542925452
126	family	PLANCTOMYCETACEAE	6.5559542925452
186814	family	THERMOANAEROBACTERACEAE	6.2598789861091
74201	phylum	VERRUCOMICROBIA	6.24611423544662
314145	superorder	LAURASIATHERIA	6.15803107499283
