#Taxon_ID	Taxon_Rank	Taxon_Name	Probability_Mass
Unclassifiable	Unknown	Unknown	1139.78207998104
1280	species	STAPHYLOCOCCUS AUREUS	552.064237973045
1409439	no rank	STAPHYLOCOCCUS AUREUS AMMC6071	461.81146244745
46170	subspecies	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS	420.912032132182
77133	species	UNCULTURED BACTERIUM	301.817813651285
418127	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS MU3	192.649261789087
548475	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS TCH70	161.673329437091
869816	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS JKD6159	135.644938267229
1201010	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS SA957	132.908006558344
985006	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS LGA251	130.202731165713
585144	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS 58 424	124.752822634736
904732	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS 21202	121.828512392102
189668	species	UNCULTURED STAPHYLOCOCCUS SP.	105.221209080584
1155079	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS DR10	71.2852683911793
523796	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS ST398	71.2852683911793
985002	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS MSHR1132	44.5373174299731
1279	genus	STAPHYLOCOCCUS	39.7318452931527
100272	species	UNCULTURED EUKARYOTE	38.5272757292789
496922	species	CORAL METAGENOME	20.387919516136
303732	family	ARACANIDAE	19.1144881924572
403947	species	STAPHYLOCOCCUS SP. SKM20 7 9	17.1977589454384
410048	species	STAPHYLOCOCCUS SP. M210	16.7464324581244
123370	no rank	HOLACANTHOPTERYGII	16.3806588251593
32485	no rank	PERCOMORPHA	12.3434320188928
203449	species	UNCULTURED MARINE EUKARYOTE	11.4903888596869
308354	species	STAPHYLOCOCCUS SIMIAE	11.0011385190205
911238	no rank	STAPHYLOCOCCUS SIMIAE CCM 7213	11.0011385190205
45972	species	STAPHYLOCOCCUS PASTEURI	10.8206691097905
246432	species	STAPHYLOCOCCUS EQUORUM	10.477811443589
270562	species	BRANCHIOSTEGUS JAPONICUS	7.651720163182
98376	species	PSEUDOLABRUS EOETHINUS	7.507429869203
384598	species	OSTRACION IMMACULATUS	7.27591130568
94238	genus	OSTRACION	7.27591130568
175275	species	UNCULTURED CERCOZOAN	6.6710090605281
236697	species	CYMUS SP. WCW 2003B	6.338646577026
61015	species	STAPHYLOCOCCUS SUCCINUS	6.2904295787077
7935	genus	ANGUILLA	5.82340280468885
7934	family	ANGUILLIDAE	5.82340280468885
405008	species	EUCOMONYMPHA IMLA	4.84027629726201
2	superkingdom	BACTERIA	4.67362452359089
415603	species	INFUNDIBULOMYCES SP. NR 2006A	4.48663992774541
1105096	no rank	RICKETTSIA PROWAZEKII STR. BUV67 CWPP	4.33333333333373
35802	no rank	BRUCELLA ABORTUS BV. 1	4.33333333333373
797300	no rank	BURKHOLDERIA PSEUDOMALLEI BP22	4.33333333333373
348708	species	COREGONUS OXYRINCHUS	4.33333333333373
283007	species	PHYTOPHTHORA IPOMOEAE	4.33333333333373
235	species	BRUCELLA ABORTUS	4.33333333333373
131567	no rank	CELLULAR ORGANISMS	4.33333333333373
262698	no rank	BRUCELLA ABORTUS BV. 1 STR. 9 941	4.33333333333373
1051056	no rank	BRUCELLA ABORTUS BV. 1 STR. NI474	4.33333333333373
33695	species	TUBULINOSEMA KINGI	4.24955833809713
319757	species	LACTORIA DIAPHANA	4.14988447144615
319756	genus	LACTORIA	4.14988447144615
81636	species	MICROMESISTIUS POUTASSOU	4.0261647027011
81635	genus	MICROMESISTIUS	4.0261647027011
33317	no rank	PROTOSTOMIA	4
28185	species	SPIROCHAETA SP.	3.9715342790612
321614	no rank	PHAEOSPHAERIA NODORUM SN15	3.8068428487536
187300	species	UNCULTURED DINOFLAGELLATE	3.77411532777349
143344	species	HELICOLENUS HILGENDORFI	3.4345599927994
143343	genus	HELICOLENUS	3.4345599927994
1293	species	STAPHYLOCOCCUS GALLINARUM	3.4306534417876
366427	species	DECIPISAGITTA DECIPIENS	3.314608794462
7426	species	NASONIA GIRAULTI	3.25694415184
34034	species	UNCULTURED DELTA PROTEOBACTERIUM	3.2403075910488
1385	order	BACILLALES	2.959245267074
554078	species	UNCULTURED RHIZARIA	2.8953172805593
1282	species	STAPHYLOCOCCUS EPIDERMIDIS	2.828588062239
7940	species	ANGUILLA AUSTRALIS	2.8161552943265
86961	subspecies	ANGUILLA AUSTRALIS AUSTRALIS	2.8161552943265
545418	species	BRANCHIOSTEGUS ARGENTATUS	2.8081929383893
186817	family	BACILLACEAE	2.7615712789716
81641	family	LOTIDAE	2.68410329685687
69943	genus	LOTA	2.68410329685687
69944	species	LOTA LOTA	2.68410329685687
646392	species	STAPHYLOCOCCUS SP. D182	2.6829555934491
8112	suborder	PERCOIDEI	2.66779223808506
5022	species	LEPTOSPHAERIA MACULANS	2.61868510695368
152704	species	UNCULTURED STRAMENOPILE	2.5760028707913
175274	species	UNCULTURED ALVEOLATE	2.4267329412635
214486	species	SEBASTES SCHLEGELII	2.3870248183665
34820	genus	SEBASTES	2.3870248183665
30851	family	MALACANTHIDAE	2.286078516846
270561	genus	BRANCHIOSTEGUS	2.286078516846
545419	subfamily	LATILINAE	2.286078516846
1647	genus	ERYSIPELOTHRIX	2.265079523913
941916	species	CYMBELLA HELVETICA	2.16776555021
8247	family	LABRIDAE	2.1460898177694
186807	family	PEPTOCOCCACEAE	2.1038868922187
136703	species	UNCULTURED RUMEN BACTERIUM	2.0957023068547
404735	species	UNCULTURED EIMERIIDAE	2.08798618390442
93062	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS COL	2.0843181770456
315267	species	UNCULTURED FRESHWATER EUKARYOTE	2.0827992417821
423478	species	KUDOA UNICAPSULA	2.079184097838
13679	species	SCOMBEROMORUS CAVALLA	2
539738	no rank	BACILLALES FAMILY XI. INCERTAE SEDIS	1.97739864163528
1378	genus	GEMELLA	1.97739864163528
