CR_0_Contig_0	186538	Zaire ebolavirus	Zaire ebolavirus	100.000	0.0
CR_100_Contig_0	93062	Staphylococcus aureus subsp. aureus COL	Staphylococcus aureus subsp. aureus COL	99.985	0.0
CR_100_Contig_1	451516	Staphylococcus aureus subsp. aureus USA300_TCH1516	Staphylococcus aureus subsp. aureus USA300_TCH1516	99.971	0.0
CR_101_Contig_0	562	Escherichia coli	Escherichia coli	99.738	0.0
CR_101_Contig_1	562	Escherichia coli	Escherichia coli	99.881	0.0
CR_101_Contig_2	562	Escherichia coli	Escherichia coli	99.924	0.0
CR_101_Contig_3	562	Escherichia coli	Escherichia coli	99.980	0.0
CR_102_Contig_0	1352	Enterococcus faecium	Enterococcus faecium	94.506	0.0
CR_102_Contig_1	1352	Enterococcus faecium	Enterococcus faecium	91.178	0.0
CR_102_Contig_2	1352	Enterococcus faecium	Enterococcus faecium	98.687	0.0
CR_102_Contig_3	768486	Enterococcus hirae ATCC 9790	Enterococcus hirae ATCC 9790	79.382	0.0
CR_102_Contig_4	1344042	Enterococcus faecium T110	Enterococcus faecium T110	99.529	0.0
CR_102_Contig_5	1352	Enterococcus faecium	Enterococcus faecium	85.797	3.85e-93
CR_103_Contig_0	630	Yersinia enterocolitica	Yersinia enterocolitica	99.750	0.0
CR_104_Contig_0	588	Providencia stuartii	Providencia stuartii	99.969	0.0
CR_105_Contig_0	1639	Listeria monocytogenes	Listeria monocytogenes	99.209	0.0
CR_106_Contig_0	633	Yersinia pseudotuberculosis	Yersinia pseudotuberculosis	99.616	0.0
CR_107_Contig_0	727	Haemophilus influenzae	Haemophilus influenzae	99.996	0.0
CR_108_Contig_0	573	Klebsiella pneumoniae	Klebsiella pneumoniae	99.986	0.0
CR_108_Contig_1	573	Klebsiella pneumoniae	Klebsiella pneumoniae	99.988	0.0
CR_108_Contig_2	573	Klebsiella pneumoniae	Klebsiella pneumoniae	99.967	0.0
CR_108_Contig_3	573	Klebsiella pneumoniae	Klebsiella pneumoniae	99.985	0.0
CR_108_Contig_4	573	Klebsiella pneumoniae	Klebsiella pneumoniae	99.980	0.0
CR_109_Contig_0	644	Aeromonas hydrophila	Aeromonas hydrophila	98.057	0.0
CR_109_Contig_1	644	Aeromonas hydrophila	Aeromonas hydrophila	95.776	0.0
CR_109_Contig_2	644	Aeromonas hydrophila	Aeromonas hydrophila	97.956	0.0
CR_109_Contig_3	644	Aeromonas hydrophila	Aeromonas hydrophila	98.245	0.0
CR_109_Contig_4	644	Aeromonas hydrophila	Aeromonas hydrophila	97.373	0.0
CR_109_Contig_5	558964	Aeromonas aquatica	Aeromonas aquatica	96.605	0.0
CR_109_Contig_6	558964	Aeromonas aquatica	Aeromonas aquatica	99.622	0.0
CR_10_Contig_0	11036	Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	99.929	0.0
CR_110_Contig_0	1280	Staphylococcus aureus	Staphylococcus aureus	99.969	0.0
CR_110_Contig_1	1280	Staphylococcus aureus	Staphylococcus aureus	100.000	0.0
CR_110_Contig_2	1280	Staphylococcus aureus	Staphylococcus aureus	100.000	0.0
CR_110_Contig_3	1280	Staphylococcus aureus	Staphylococcus aureus	99.988	0.0
CR_110_Contig_4	282458	Staphylococcus aureus subsp. aureus MRSA252	Staphylococcus aureus subsp. aureus MRSA252	99.973	0.0
CR_110_Contig_5	1280	Staphylococcus aureus	Staphylococcus aureus	99.988	0.0
